phone_number,filter_reason,confidence
+18332297693,toll_free,99%
+18332297972,toll_free,99%
+18332298215,toll_free,99%
+18332308886,toll_free,99%
+18332309786,toll_free,99%
+18332309790,toll_free,99%
+18332319701,toll_free,99%
+18332324977,toll_free,99%
+18332357728,toll_free,99%
+18332372079,toll_free,99%
+18332396578,toll_free,99%
+18332396598,toll_free,99%
+18332396723,toll_free,99%
+18332396825,toll_free,99%
+18332396855,toll_free,99%
+18332396985,toll_free,99%
+18332396997,toll_free,99%
+18332398773,toll_free,99%
+18332411071,toll_free,99%
+18332437177,toll_free,99%
+18332466282,toll_free,99%
+18332479696,toll_free,99%
+18332492786,toll_free,99%
+18332506065,toll_free,99%
+18332581684,toll_free,99%
+18332585585,toll_free,99%
+18332586801,toll_free,99%
+18332589691,toll_free,99%
+18332611945,toll_free,99%
+18332614802,toll_free,99%
+18332615094,toll_free,99%
+18332622216,toll_free,99%
+18332622233,toll_free,99%
+18332622883,toll_free,99%
+18332634122,toll_free,99%
+18332634149,toll_free,99%
+18332634301,toll_free,99%
+18332634360,toll_free,99%
+18332634361,toll_free,99%
+18332638042,toll_free,99%
+18332642693,toll_free,99%
+18332646215,toll_free,99%
+18332662334,toll_free,99%
+18332665655,toll_free,99%
+18332669041,toll_free,99%
+18332678750,toll_free,99%
+18332678752,toll_free,99%
+18332681577,toll_free,99%
+18332681625,toll_free,99%
+18332686658,toll_free,99%
+18332691738,toll_free,99%
+18332703016,toll_free,99%
+18332703632,toll_free,99%
+18332707885,toll_free,99%
+18332707936,toll_free,99%
+18332707946,toll_free,99%
+18332708065,toll_free,99%
+18332708066,toll_free,99%
+18332708877,toll_free,99%
+18332708947,toll_free,99%
+18332708950,toll_free,99%
+18332709058,toll_free,99%
+18332717516,toll_free,99%
+18332738756,toll_free,99%
+18332866506,toll_free,99%
+18332866565,toll_free,99%
+18332867279,toll_free,99%
+18332869663,toll_free,99%
+18332965699,toll_free,99%
+18332965703,toll_free,99%
+18333013173,toll_free,99%
+18333014301,toll_free,99%
+18333014547,toll_free,99%
+18333137098,toll_free,99%
+18333167965,toll_free,99%
+18333191577,toll_free,99%
+18333240176,toll_free,99%
+18333300215,toll_free,99%
+18333314686,toll_free,99%
+18333331661,toll_free,99%
+18333337236,toll_free,99%
+18333376733,toll_free,99%
+18333377349,toll_free,99%
+18333426980,toll_free,99%
+18333465456,toll_free,99%
+18333576267,toll_free,99%
+18333602764,toll_free,99%
+18333629679,toll_free,99%
+18333642895,toll_free,99%
+18333741899,toll_free,99%
+18333744627,toll_free,99%
+18333796090,toll_free,99%
+18333871705,toll_free,99%
+18333891880,toll_free,99%
+18333893450,toll_free,99%
+18334015111,toll_free,99%
+18334042272,toll_free,99%
+18334069589,toll_free,99%
+18334069590,toll_free,99%
+18334069592,toll_free,99%
+18334100529,toll_free,99%
+18334144107,toll_free,99%
+18334162604,toll_free,99%
+18334172274,toll_free,99%
+18334189081,toll_free,99%
+18334197246,toll_free,99%
+18334221191,toll_free,99%
+18334294786,toll_free,99%
+18334296064,toll_free,99%
+18334511525,toll_free,99%
+18334529693,toll_free,99%
+18334537008,toll_free,99%
+18334741437,toll_free,99%
+18334812104,toll_free,99%
+18334832239,toll_free,99%
+18334915450,toll_free,99%
+18334994537,toll_free,99%
+18335042560,toll_free,99%
+18335117158,toll_free,99%
+18335120040,toll_free,99%
+18335257942,toll_free,99%
+18335265172,toll_free,99%
+18335303055,toll_free,99%
+18335420126,toll_free,99%
+18335467356,toll_free,99%
+18335480276,toll_free,99%
+18335515211,toll_free,99%
+18335516221,toll_free,99%
+18335522123,toll_free,99%
+18335535076,toll_free,99%
+18335741005,toll_free,99%
+18335801401,toll_free,99%
+18335821174,toll_free,99%
+18335824125,toll_free,99%
+18335824529,toll_free,99%
+18335971950,toll_free,99%
+18335996192,toll_free,99%
+18336000338,toll_free,99%
+18336020589,toll_free,99%
+18336090346,toll_free,99%
+18336123130,toll_free,99%
+18336149469,toll_free,99%
+18336153148,toll_free,99%
+18336215866,toll_free,99%
+18336260737,toll_free,99%
+18336503759,toll_free,99%
+18336563935,toll_free,99%
+18336580781,toll_free,99%
+18336580816,toll_free,99%
+18336692919,toll_free,99%
+18336801127,toll_free,99%
+18336833757,toll_free,99%
+18336854126,toll_free,99%
+18336960106,toll_free,99%
+18337090860,toll_free,99%
+18337171925,toll_free,99%
+18337371266,toll_free,99%
+18337430439,toll_free,99%
+18337463677,toll_free,99%
+18337471773,toll_free,99%
+18337502868,toll_free,99%
+18337571405,toll_free,99%
+18337593934,toll_free,99%
+18337671569,toll_free,99%
+18337711486,toll_free,99%
+18337726668,toll_free,99%
+18337729988,toll_free,99%
+18337788120,toll_free,99%
+18337788122,toll_free,99%
+18337788126,toll_free,99%
+18337793293,toll_free,99%
+18337815300,toll_free,99%
+18337840781,toll_free,99%
+18337841467,toll_free,99%
+18337855231,toll_free,99%
+18338288366,toll_free,99%
+18338410674,toll_free,99%
+18338613009,toll_free,99%
+18338705176,toll_free,99%
