phone_number,filter_reason,confidence
+18884383808,toll_free,99%
+18884433779,toll_free,99%
+18884433842,toll_free,99%
+18884493609,toll_free,99%
+18884505996,toll_free,99%
+18884640727,toll_free,99%
+18884663242,toll_free,99%
+18884706148,toll_free,99%
+18884832645,toll_free,99%
+18884835405,toll_free,99%
+18884897249,toll_free,99%
+18884898452,toll_free,99%
+18885018107,toll_free,99%
+18885115326,toll_free,99%
+18885135754,toll_free,99%
+18885221367,toll_free,99%
+18885413840,toll_free,99%
+18885420111,toll_free,99%
+18885591922,toll_free,99%
+18885788422,toll_free,99%
+18885808988,toll_free,99%
+18886254988,toll_free,99%
+18886433084,toll_free,99%
+18886448314,toll_free,99%
+18886452789,toll_free,99%
+18886516277,toll_free,99%
+18886636331,toll_free,99%
+18886643682,toll_free,99%
+18886707489,toll_free,99%
+18886933297,toll_free,99%
+18886936088,toll_free,99%
+18886936888,toll_free,99%
+18887144938,toll_free,99%
+18887217467,toll_free,99%
+18887274692,toll_free,99%
+18887274962,toll_free,99%
+18887355651,toll_free,99%
+18887398385,toll_free,99%
+18887411698,toll_free,99%
+18887425877,toll_free,99%
+18887838441,toll_free,99%
+18887852471,toll_free,99%
+18887860676,toll_free,99%
+18887923307,toll_free,99%
+18888005234,toll_free,99%
+18888329962,toll_free,99%
+18888378818,toll_free,99%
+18888411789,toll_free,99%
+18888513809,toll_free,99%
+18888728356,toll_free,99%
+18888814744,toll_free,99%
+18888849103,toll_free,99%
+18888884532,toll_free,99%
+18888887020,toll_free,99%
+18888922253,toll_free,99%
+18888976348,toll_free,99%
+18888992213,toll_free,99%
+18889014480,toll_free,99%
+18889224119,toll_free,99%
+18889477899,toll_free,99%
+18889495678,toll_free,99%
+18889630322,toll_free,99%
+18889666283,toll_free,99%
+18889749928,toll_free,99%
+18889760259,toll_free,99%
+18889772250,toll_free,99%
+18889945626,toll_free,99%
+18889947307,toll_free,99%
+18889990032,toll_free,99%
+18889998861,toll_free,99%
